DWid	DW	voyageID	voyage	vesselID	vessel	agentID	agent	masterID	master	DWlink	other_years	port	change_date	changer
AD10011	1-001	AV00102	Abigail : 1831-1835	AS0001	Abigail			AM0991	Clark, Benjamin	https://archive.org/details/abstractsofwhali1183denn/page/n34	1831 1832 1833 1834 1835	New Bedford, MA	2021-10-04	
AD10012	1-001	AV00103	Abigail : 1835-1838	AS0001	Abigail	AA0890	Morgan, Charles W.	AM4060	Reynard, William Hathaway	https://archive.org/details/abstractsofwhali1183denn/page/n34	1835 1836 1837 1838	New Bedford, MA	2021-10-04	
AD10013	1-001	AV00105	Abigail : 1839	AS0001	Abigail	AA0890	Morgan, Charles W.	AM1403	Cox, James V.	https://archive.org/details/abstractsofwhali1183denn/page/n34	1839	New Bedford, MA	2021-10-04	
AD10014	1-001	AV00106	Abigail : 1839-1843	AS0001	Abigail			AM1403	Cox, James V.	https://archive.org/details/abstractsofwhali1183denn/page/n34	1839 1840 1841 1842 1843	New Bedford, MA	2021-10-04	
AD10015	1-001	AV00107	Abigail : 1843-1847	AS0001	Abigail	AA0890	Morgan, Charles W.	AM5702	Barnard, David C.	https://archive.org/details/abstractsofwhali1183denn/page/n34	1843 1844 1845 1846 1847	New Bedford, MA	2021-10-04	
AD10021	1-002	AV01000	Ann Alexander : 1832-1835	AS0007	Ann Alexander	AA0636	Howland, George	AM4331	Shepherd, James	https://archive.org/details/abstractsofwhali1183denn/page/n35	1832 1833 1834 1835	New Bedford, MA	2021-10-04	
AD10022	1-002	AV01001	Ann Alexander : 1836-1837	AS0007	Ann Alexander	AA0636	Howland, George	AM0233	Bailey, Joseph A., Jr.	https://archive.org/details/abstractsofwhali1183denn/page/n35	1836 1837	New Bedford, MA	2021-10-04	
AD10023	1-002	AV01002	Ann Alexander : 1837-1838	AS0007	Ann Alexander	AA0636	Howland, George	AM0233	Bailey, Joseph A., Jr.	https://archive.org/details/abstractsofwhali1183denn/page/n35	1837 1838	New Bedford, MA	2021-10-04	
AD10024	1-002	AV01003	Ann Alexander : 1838-1841	AS0007	Ann Alexander	AA0636	Howland, George	AM1601	Dornin, John B.	https://archive.org/details/abstractsofwhali1183denn/page/n35	1838 1839 1840 1841	New Bedford, MA	2021-10-04	
AD10025	1-002	AV01004	Ann Alexander : 1841-1845	AS0007	Ann Alexander	AA0636	Howland, George	AM4961	Taber, Pardon, Jr. or II	https://archive.org/details/abstractsofwhali1183denn/page/n35	1841 1842 1843 1844 1845	New Bedford, MA	2021-10-04	
AD10031	1-003	AV00871	Amethyst : 1832-1835	AS0008	Amethyst	AA0952	Parker, John A. & Sons	AM1878	Fisher, Jonathan	https://archive.org/details/abstractsofwhali1183denn/page/n36	1832 1833 1834 1835	New Bedford, MA	2021-10-04	
AD10032	1-003	AV00873	Amethyst : 1836-1838	AS0008	Amethyst	AA0951	Parker, John A. & Son	AM2749	Howland, Warren	https://archive.org/details/abstractsofwhali1183denn/page/n36	1836 1837 1838	New Bedford, MA	2021-10-04	
AD10033	1-003	AV00875	Amethyst : 1838-1840	AS0008	Amethyst	AA0951	Parker, John A. & Son	AM4056	Reynard, Owen	https://archive.org/details/abstractsofwhali1183denn/page/n36	1838 1839 1840	New Bedford, MA	2021-10-04	
AD10034	1-003	AV00876	Amethyst : 1840-1842	AS0008	Amethyst	AA0951	Parker, John A. & Son	AM0472	Black, Joseph	https://archive.org/details/abstractsofwhali1183denn/page/n36	1840 1841 1842	New Bedford, MA	2021-10-04	
AD10035	1-003	AV00877	Amethyst : 1842-1844	AS0008	Amethyst	AA0951	Parker, John A. & Son	AM4057	Reynard, Robert P.	https://archive.org/details/abstractsofwhali1183denn/page/n36	1842 1843 1844	New Bedford, MA	2021-10-04	
AD10041	1-004	AV01347	Atlantic : 1845-1848	AS0923	Atlantic	AA0852	Miner, Lawrence & Co.	AM0414	Beck, William	https://archive.org/details/abstractsofwhali1183denn/page/n37	1845 1846 1847 1848	New London, CT	2021-10-04	
AD10042	1-004	AV01451	Averick : 1834-1836	AS0011	Averick	AA0951	Parker, John A. & Son	AM4316	Shearman, Humphrey	https://archive.org/details/abstractsofwhali1183denn/page/n37	1834 1835 1836	New Bedford, MA	2021-10-04	
AD10043	1-004	AV01452	Averick : 1836-1840	AS0011	Averick	AA0951	Parker, John A. & Son	AM3041	Lawrence, George F.	https://archive.org/details/abstractsofwhali1183denn/page/n37	1836 1837 1838 1839 1840	New Bedford, MA	2021-10-04	
AD10044	1-004	AV01453	Averick : 1840-1844	AS0011	Averick	AA0951	Parker, John A. & Son	AM3433	Mickell, Thomas, Jr.	https://archive.org/details/abstractsofwhali1183denn/page/n37	1840 1841 1842 1843 1844	New Bedford, MA	2021-10-04	
AD10051	1-005	AV00459	Alexander : 1835-1838	AS0005	Alexander	AA0952	Parker, John A. & Sons	AM3969	Price, Simeon	https://archive.org/details/abstractsofwhali1183denn/page/n38	1835 1836 1837 1838	New Bedford, MA	2021-10-04	
AD10052	1-005	AV00460	Alexander : 1838-1842	AS0005	Alexander	AA0951	Parker, John A. & Son	AM4697	Stetson, Charles	https://archive.org/details/abstractsofwhali1183denn/page/n38	1838 1839 1840 1841 1842	New Bedford, MA	2021-10-04	
AD10053	1-005	AV00461	Alexander : 1842-1846	AS0005	Alexander	AA0949	Parker, John A.	AM1601	Dornin, John B.	https://archive.org/details/abstractsofwhali1183denn/page/n38	1842 1843 1844 1845 1846	New Bedford, MA	2021-10-04	
AD10061	1-006	AV01410	Augusta : 1830-1834	AS0010	Augusta	AA1065	Rodman, William R.	AM3039	Lawrence, Charles	https://archive.org/details/abstractsofwhali1183denn/page/n39	1830 1831 1832 1833 1834	New Bedford, MA	2021-10-04	
AD10062	1-006	AV01411	Augusta : 1834-1837	AS0010	Augusta	AA1065	Rodman, William R.	AM3039	Lawrence, Charles	https://archive.org/details/abstractsofwhali1183denn/page/n39	1834 1835 1836 1837	New Bedford, MA	2021-10-04	
AD10063	1-006	AV01412	Augusta : 1838-1842	AS0010	Augusta			AM3039	Lawrence, Charles	https://archive.org/details/abstractsofwhali1183denn/page/n39	1838 1839 1840 1841 1842	New Bedford, MA	2021-10-04	
AD10064	1-006	AV01413	Augusta : 1842-1845	AS0010	Augusta	AA1065	Rodman, William R.	AM1522	Davis, Henry W.	https://archive.org/details/abstractsofwhali1183denn/page/n39	1842 1843 1844 1845	New Bedford, MA	2021-10-04	
AD10071	1-007	AV00809	America : 1835-1838	AS0006	America	AA0641	Howland, I., Jr. & Co.	AM2194	Gifford, Elihu	https://archive.org/details/abstractsofwhali1183denn/page/n40	1835 1836 1837 1838	New Bedford, MA	2021-10-04	
AD10072	1-007	AV00812	America : 1838-1840	AS0006	America	AA0641	Howland, I., Jr. & Co.	AM1235	Cole, John	https://archive.org/details/abstractsofwhali1183denn/page/n40	1838 1839 1840	New Bedford, MA	2021-10-04	
AD10073	1-007	AV00815	America : 1843-1845	AS0006	America	AA0641	Howland, I., Jr. & Co.	AM1851	Fisher, Alfred Kendrick	https://archive.org/details/abstractsofwhali1183denn/page/n40	1843 1844 1845	New Bedford, MA	2021-10-04	
AD10074	1-007	AV00814	America : 1840-1842	AS0006	America	AA0641	Howland, I., Jr. & Co.	AM1851	Fisher, Alfred Kendrick	https://archive.org/details/abstractsofwhali1183denn/page/n40	1840 1841 1842	New Bedford, MA	2021-10-04	
AD10081	1-008	AV00209	Acushnet : 1841-1845	AS0819	Acushnet	AA0147	Bradford, Fuller & Co.	AM4866	Pease, Valentine	https://archive.org/details/abstractsofwhali1183denn/page/n41	1841 1842 1843 1844 1845	Fairhaven, MA	2021-10-04	
AD10082	1-008	AV00810	America : 1836	AS0056	America	AA0544	Grinnell, Lawrence	AM2527	Hawes, Shubael	https://archive.org/details/abstractsofwhali1183denn/page/n41	1836	New Bedford, MA	2021-10-04	
AD10083	1-008	AV00811	America : 1836-1837	AS0056	America	AA0544	Grinnell, Lawrence	AM2828	Hutchins, Robert	https://archive.org/details/abstractsofwhali1183denn/page/n41	1836 1837	New Bedford, MA	2021-10-04	
AD10091	1-009	AV00332	Agate : 1836	AS0004	Agate			AM4288	Seabury, A. H.	https://archive.org/details/abstractsofwhali1183denn/page/n42	1836	New Bedford, MA	2021-10-04	
AD10092	1-009	AV00333	Agate : 1836	AS0004	Agate			AM3247	Macomber, Perry Gifford	https://archive.org/details/abstractsofwhali1183denn/page/n42	1836	New Bedford, MA	2021-10-04	
AD10093	1-009	AV00334	Agate : 1836-1837	AS0004	Agate			AM1345	Cornell, Peleg	https://archive.org/details/abstractsofwhali1183denn/page/n42	1836 1837	New Bedford, MA	2021-10-04	
AD10094	1-009	AV00335	Agate : 1838	AS0004	Agate			AM2727	Howland, J.	https://archive.org/details/abstractsofwhali1183denn/page/n42	1838	New Bedford, MA	2021-10-04	
AD10095	1-009	AV00336	Agate : 1838-1840	AS0004	Agate			AM3024	Landre, Ambrose S.	https://archive.org/details/abstractsofwhali1183denn/page/n42	1838 1839 1840	New Bedford, MA	2021-10-04	
AD10096	1-009	AV00337	Agate : 1840-1841	AS0004	Agate	AA1112	Seabury, A. H.	AM4634	Spooner, Joseph	https://archive.org/details/abstractsofwhali1183denn/page/n42	1840 1841	New Bedford, MA	2021-10-04	
AD10097	1-009	AV00338	Agate : 1841-1842	AS0004	Agate	AA0998	Pope & Morgan	AM1345	Cornell, Peleg	https://archive.org/details/abstractsofwhali1183denn/page/n42	1841 1842	New Bedford, MA	2021-10-04	
AD10098	1-009	AV00339	Agate : 1842-1843	AS0004	Agate			AM1345	Cornell, Peleg	https://archive.org/details/abstractsofwhali1183denn/page/n42	1842 1843	New Bedford, MA	2021-10-04	
AD10099	1-009	AV00340	Agate : 1843-1844	AS0004	Agate	AA1047	Ricketson, Barton	AM5151	Vincent, Jesse S.	https://archive.org/details/abstractsofwhali1183denn/page/n42	1843 1844	New Bedford, MA	2021-10-04	
AD10101	1-010	AV01149	Arab : 1831-1834	AS0039	Arab	AA1214	Stoddard, Alden D.	AM0744	Bunker, Samuel	https://archive.org/details/abstractsofwhali1183denn/page/n43	1831 1832 1833 1834	Fairhaven, MA	2021-10-04	
AD10102	1-010	AV01152	Arab : 1835-1837	AS0039	Arab			AM4180	Russell, Charles C.	https://archive.org/details/abstractsofwhali1183denn/page/n43	1835 1836 1837	Fairhaven, MA	2021-10-04	
AD10103	1-010	AV01155	Arab : 1837-1839	AS0039	Arab	AA1110	Sawin, Ezekiel	AM4180	Russell, Charles C.	https://archive.org/details/abstractsofwhali1183denn/page/n43	1837 1838 1839	Fairhaven, MA	2021-10-04	
AD10104	1-010	AV01158	Arab : 1840-1843	AS0039	Arab	AA1265	Terry, Isaiah F.	AM5515	Wrightington, Ezra	https://archive.org/details/abstractsofwhali1183denn/page/n43	1840 1841 1842 1843	Fairhaven, MA	2021-10-04	
AD10105	1-010	AV01160	Arab : 1843-1846	AS0039	Arab	AA1265	Terry, Isaiah F.	AM5515	Wrightington, Ezra	https://archive.org/details/abstractsofwhali1183denn/page/n43	1843 1844 1845 1846	Fairhaven, MA	2021-10-04	
