logbookID	title	desc	start_date	start_place	end_date	end_place	source	note	change_date	changer	masterIDs	vesselIDs	voyageIDs	master	repositoryID	ID_in_repo	ID_in_repo_alt	url_in_repo	viewer_url	creator	creatorID	thumbnail	citation	other_years	segmentIDs
AL037001	Logbook of the Horatio (Bark) of San Francisco, Calif., mastered by Giles P. Slocum, kept by Giles P. Slocum, on voyage from 17 Mar. 1896-1 Nov. 1896		1896 Mar 13	San Francisco, CA	1896		NBWM		2018-09-27	N Silveira	AM4397	AS0297	AV06802		KWM	KWM 104	Microfilm Reel 10		https://archive.org/details/logbookofhoratio00hora	Giles P. Slocum				1896	
AL037002	Logbook of the Islander (Bark) of New Bedford, Mass., mastered by Richard Holley, on voyage from 11 Nov. 1865-12 June 1869		1865 Nov 11	New Bedford, MA	1869		NBWM		2018-09-22	N Silveira	AM2636	AS0312	AV07187		KWM	KWM 112	Microfilm Reel 11		https://archive.org/details/logbookofislande00isla					1865 1866 1867 1868 1869	
AL037003	Logbook of the Josephine (Ship), of New Bedford, Mass., mastered by James L. Chapman, kept by James L. Chapman, on voyage from 14 Apr. 1863-12 June 1867		1863 Apr 13	New Bedford, MA	1867		NBWM		2018-10-06	N Silveira	AM0889	AS0346	AV07887		KWM	KWM 122C	Microfilm Reel 12		https://archive.org/details/logbookofjosephi00unse	James L. Chapman				1863 1864 1865 1866 1867	
AL037004	Logbook of the Alfred Gibbs (Ship) of New Bedford, Mass., mastered by Isaac H. Jenney, kept by William W. Allen, on voyage from 1851 Nov. 13-1854 July 20		1851	New Bedford, MA	1854		NBWM		2018-09-27	N Silveira	AM2875	AS0024	AV00531		KWM	KWM 13			https://archive.org/details/logbookofalfredg1851unse	William W. Allen				1851 1852 1853 1854	
AL037005	Logbook of the Lydia (Bark) of New Bedford, Mass., mastered by Thomas B. Hathaway, on voyage from 2 Nov. 1865-1 May 1869		1865 Nov 1	New Bedford, MA	1869		NBWM		2018-10-06	N Silveira	AM2509	AS0397	AV08715		KWM	KWM 132	Microfilm Reel 12		https://archive.org/details/logbookoflydiaba00lydi					1865 1866 1867 1868 1869	
AL037006	Logbook of the Mermaid (Bark) of San Francisco, Calif., mastered by David F. Devoll, on voyage from 17 Mar. 1896-10 Nov. 1896		1896 Mar 17	San Francisco, CA	1896		NBWM		2018-10-06	N Silveira	AM1580	AS0704	AV09640		KWM	KWM 143	Microfilm Reel 13		https://archive.org/details/logbookofmermaid00merm					1896	
AL037007	Logbook of the Milo (Ship) of New Bedford, Mass., mastered by Jonathan Capen Hawes, on voyage from 26 Nov. 1863-7 May 1869		1863 Nov 25	New Bedford, MA	1869		NBWM		2018-09-22	N Silveira	AM2526	AS0400	AV09775		KWM	KWM 147			https://archive.org/details/logbookofmiloship00milo					1863 1864 1865 1866 1867 1868 1869	
AL037008	Logbook of the Navy (Ship) of New Bedford, Mass.; mastered by Andrew S. Sarvent, kept by Andrew S. Sarvent on voyage from 10 Aug. 1859-18 Apr. 1864		1859 Aug 10	New Bedford, MA	1864		NBWM		2018-10-06	N Silveira	AM4261	AS0495	AV10337		KWM	KWM 155			https://archive.org/details/logbookofnavyshi00navy	Andrew S. Sarvent				1859 1860 1861 1862 1863 1864	
AL037009	Logbook of the Navy (Bark) of New Bedford, Mass., mastered by George F. Bauldry, on voyage from 7 Oct. 1869-14 Sept. 1871		1869 Oct 6	New Bedford, MA	1871 Sept 14		NBWM		2018-10-08	N Silveira	AM0397	AS0495	AV10339		KWM	KWM 156	Microfilm Reel 15		https://archive.org/details/logbookofnavybar00navy					1869 1870 1871	
AL037010	Logbook of the Nimrod (Ship) of New Bedford, mastered by Willis Howes, on voyage Sept. 1857-July 1861		1857 Sept 17	New Bedford, MA	1861		NBWM		2018-11-14	N Silveira	AM2703	AS0494	AV10511		KWM	KWM 159			https://archive.org/details/logbookofnimrods00nimr	William M. Lambert				1857 1858 1859 1860 1861	
AL037011	Logbook of the Congress (Ship) of New Bedford, mastered by Francis E. Stranburg, on voyage Aug. 1858-Aug. 1862		1858 Aug 2	New Bedford, MA	1862		NBWM		2018-11-13	N Silveira	AM4729	AS0113	AV03258		KWM	KWM 161			https://archive.org/details/logbookofcongres00cong					1858 1859 1860 1861 1862	
AL037012	Logbook of the Rambler (Ship) of New Bedford, mastered by James Monroe Willis, on voyage Oct. 1856-June 1860		1856 Oct 14	New Bedford, MA	1860		NBWM		2018-10-20	N Silveira	AM5382	AS0588	AV12125		KWM	KWM 173			https://archive.org/details/logbookoframbler00ramb	James Monroe Willis				1856 1857 1858 1859 1860	
AL037013	Journal of the Saratoga (Ship) of New Bedford, Mass. mastered by Frederick Slocum, kept by Washington Fosdick, on voyage from April 23, 1857 - December 12, 1858		1856 Nov 3	New Bedford, MA	1860 June 1		NBWM		2019-01-22	D Caldwell	AM4395	AS0614	AV12965		KWM	KWM 180	Microfilm Reel 17		https://archive.org/details/journalofsaratog00unse	Washington Fosdick				1856 1857 1858 1859 1860	
AL037014	Logbook of the Trident (Bark) of New Bedford, Mass., mastered by Samuel Green, on voyage from 16 Nov. 1865-10 June 1871		1865 Nov 15	New Bedford, MA	1871		NBWM		2018-10-06	N Silveira	AM2313, AM4152	AS0651	AV14044		KWM	KWM 192	Microfilm Reel 18		https://archive.org/details/logbookoftrident00trid					1865 1866 1867 1868 1869 1870 1871	
AL037015	Logbook of the Nassau (Ship) of New Bedford, mastered by James W. White, on voyage Aug. 1850-May 1853		1850	New Bedford, MA	1853		NBWM		2018-11-13	N Silveira	AM5307	AS0492	AV10278		KWM	KWM 216			https://archive.org/details/logbookofnassaus00nass	William H. Pullen				1850 1851 1852 1853	
AL037016	Logbook of the William Hamilton (Ship) of New Bedford, mastered by Humphrey Allen Shockley, on voyage from June 1850-Nov. 1852		1850	New Bedford, MA	1854		NBWM		2018-11-13	N Silveira	AM4356, AM2641	AS0687	AV15654		KWM	KWM 225			https://archive.org/details/logbookofwilliam00will_0	John G. Ellis				1850 1851 1852 1853 1854	
AL037017	Logbook of the America (Ship) of New Bedford, mastered by Lorenzo Fisher, on voyage June 1851-June 1854		1851	New Bedford, MA	1854		NBWM		2018-11-14	N Silveira	AM1884	AS0006	AV00825		KWM	KWM 235			https://archive.org/details/logbookofamerica00amer	Lorenzo Fisher				1851 1852 1853 1854	
AL037018	Logbook of the Golconda (Ship) of New Bedford, mastered by Francis Dougherty, on voyage from July 1851-Apr. 1855		1851	New Bedford, MA	1855		NBWM		2018-11-14	N Silveira	AM1605	AS0244	AV05827		KWM	KWM 244			https://archive.org/details/logbookofgolcond00golc	James T. Taber				1851 1852 1853 1854 1855	
AL037019	Logbook of the Marengo (Ship) of New Bedford, mastered by Joseph C. Little, on voyage from Oct. 1866-Apr. 1871		1866 Oct 16	New Bedford, MA	1871		NBWM		2018-11-14	N Silveira	AM3125	AS0461	AV08920		KWM	KWM 251			https://archive.org/details/logbookofmarengo00mare_0	James H. Edick				1866 1867 1868 1869 1870 1871	
AL037020	Belvedere (Steam bark), of San Francisco, Calif., mastered by S.F. Cottle, kept by William F. Joseph, on voyage from 1907 Mar. 2-Oct. 8		1907 Mar 2	San Francisco, CA	1907 Nov 8		NBWM		2018-11-14	N Silveira	AM1382	AS0707	AV01713		KWM	KWM 29			https://archive.org/details/belvederesteamba00belv	William F. Joseph				1907	
AL037021	Benjamin Tucker (Ship), of New Bedford, Mass., mastered by Daniel B. Wood, kept by Daniel A. Chappell, on voyage from 1849 July 18-1851 June 1		1849	New Bedford, MA	1851		NBWM		2018-11-14	N Silveira	AM5455	AS0063	AV01783		KWM	KWM 30			https://archive.org/details/benjamintuckersh00benj	Daniel A. Chappell				1849 1850 1851	
AL037022	Logbook of the Bowditch (Ship) of Warren, mastered by Nelson J. Waldron, on voyage from Sept. 1849-Apr. 1852		1849 Sept 18	Warren, RI	1852 Apr 23		NBWM		2018-11-14	N Silveira	AM5164	AS1001	AV01977		KWM	KWM 316			https://archive.org/details/logbookofbowditc00bowd					1849 1850 1851 1852	
AL037023	Logbook of the South America (Bark) of New Bedford, mastered by Washington T. Walker and John L. Gifford, on voyage from Oct. 1855-May 1859		1855 Sept 29	New Bedford, MA	1859		NBWM		2018-11-14	N Silveira	AM5169, AM2207	AS0620	AV13265		KWM	KWM 326			https://archive.org/details/logbookofsoutham00sout_0					1855 1856 1857 1858 1859	
AL037024	Logbook of the Cape Horn Pigeon (Bark) of Dartmouth, mastered by Daniel Sherman on voyage from Sept. 1862-Apr. 1866		1862 Sept 13	Dartmouth, MA	1866		NBWM		2018-11-14	N Silveira	AM4333	AS0701	AV02338		KWM	KWM 329			https://archive.org/details/logbookofcapehor00cape	 Daniel Sherman				1862 1863 1864 1865 1866	
AL037025	Logbook of the Prudent (Bark) of Stonington, mastered by Ellery Nash, on voyage from Oct. 1850-May 1855		1850	Stonington, CT	1855		NBWM		2018-11-14	N Silveira	AM3543	AS2246	AV12004		KWM	KWM 338			https://archive.org/details/logbookofprudent00prud	Ellery Nash				1850 1851 1852 1853 1854 1855	
AL037026	Logbook of the Milo (Ship) of New Bedford, mastered by Thomas Fordham, on voyage from Nov. 1859-May 1863		1859 Nov 15	New Bedford, MA	1863		NBWM		2018-11-14	N Silveira	AM1995	AS0400	AV09774		KWM	KWM 351			https://archive.org/details/logbookofmiloshi00milo_1	Thomas Fordham				1859 1860 1861 1862 1863	
AL037027	Logbook of the Isabella (Bark) of New Bedford, mastered by Hudson Winslow, on voyage Sept. 1863- June 1865		1863 Sept 28	New Bedford, MA	1865 June 26		NBWM		2018-11-14	N Silveira	AM5422	AS0311	AV07168		KWM	KWM 363			https://archive.org/details/logbookofisabell00isab					1863 1864 1865	
AL037028	Logbook of the California (Bark), of San Francisco, Calif., mastered by Ellsworth Luce West, kept by first mate William F. Joseph, on voyage from 1894 Dec. 4-1895 Nov. 7		1894 Dec 4	San Francisco, CA	1895		NBWM		2018-10-05	N Silveira	AM5247, AM4397	AS0093	AV02207		KWM	KWM 37	Microfilm Reel 4		https://archive.org/details/logbookofcaliforn00cali	William F. Joseph				1894 1895	
AL037029	Logbook of the Betsey Williams (Ship) of Stonington, Conn., mastered by Gilbert Pendleton, kept by Gilbert Pendleton, on voyage from 1851 July 23-1854 April 20		1851	Stonington, CT	1854		NBWM		2018-10-02	N Silveira	AM3808	AS0074	AV01853		KWM	KWM 370			https://archive.org/details/logbookofbetseyw00unse	John R. Collins				1851 1852 1853 1854	
AL037030	Logbook of the Reindeer (Ship) of New Bedford, mastered by George W. Raynor on voyage June 1865-Apr. 1869		1865 June 12	New Bedford, MA	1869		NBWM		2018-11-14	N Silveira	AM4038	AS0589	AV12221		KWM	KWM 385			https://archive.org/details/logbookofreindee00rein					1865 1866 1867 1868 1869	
AL037031	Logbook of the California (Bark), of San Francisco, Calif., mastered by William F. Joseph, kept by William F. Joseph, on voyage from 1905 Feb. 16-1905 Nov. 3		1905 Feb 16	San Francisco, CA	1905 Nov 3		NBWM		2018-10-06	N Silveira	AM2929	AS0093	AV02221		KWM	KWM 40A	Microfilm Reel 4		https://archive.org/details/logbookofcalifor00unse	William F. Joseph				1905	
AL037032	Logbook of the Alfred Gibbs (Ship) of New Bedford, mastered by Isaac H. Jenney on voyage from Nov. 1851-July 1854		1851	New Bedford, MA	1854		NBWM		2018-11-14	N Silveira	AM2875	AS0024	AV00531		KWM	KWM 412			https://archive.org/details/logbookofalfredg00alfr	Henry Berry				1851 1852 1853 1854	
AL037033	Logbook of the Oregon (Ship) of Fairhaven, Mass., mastered by Obed Sherman, on voyage from 12 July 1841 - 31 March 1845		1841 July 12	Fairhaven, MA	1845		NBWM		2018-11-14	N Silveira	AM4346	AS2109	AV10952		KWM	KWM 418			https://archive.org/details/logbookoforegons00oreg_0					1841 1842 1843 1844 1845	
AL037034	Logbook of the Cicero (Bark) of New Bedford, mastered by John H. Paun, on voyage from Oct. 1865-Sept. 1869		1865 Oct 16	New Bedford, MA	1869		NBWM		2018-11-13	N Silveira	AM3743	AS0096	AV02885		KWM	KWM 431			https://archive.org/details/logbookofcicerob00cice					1865 1866 1867 1868 1869	
