sourceID	source	source_desc	change_date	changer	link_note	links
AZ001	Whaling Masters	Works Progress Administration. Whaling Masters: Voyages 1731-1925. New Bedford, MA: Old Dartmouth Historical Society, 1938. Annotated copy located at the New Bedford Whaling Museum Research Library, New Bedford, MA.	2019-01-05			https://hdl.handle.net/2027/uc1.$b25850
AZ002	Hegarty. Addendum to 'Starbuck' and 'Whaling Masters'	Hegarty, Reginald B. Addendum to 'Starbuck' and 'Whaling Masters': New Bedford Customs District. New Bedford, MA: New Bedford Free Public Library, 1964.	2019-01-05			
AZ003	Private Collections	Private Collections. Private communications with the owners of logbooks and journals.	2019-01-05			
AZ004	Starbuck. History of the American Whale Fishery	Starbuck, Alexander. History of the American Whale Fishery from its Earliest Inception to the Year 1876. 1876. Reprinted Secaucus, NJ: Castle Books, 1989.	2019-01-05			https://archive.org/details/historyofamerica00star
AZ005	Batchelder. Whaleship Index	Batchelder, Charles F. Whaleship Index. New Bedford Whaling Museum Research Library, New Bedford, MA, 1960. Card file.	2019-01-05			
AZ006	Sherman. Whaling Logbooks and Journals	Sherman, Stuart C., comp. Judith M. Downey and Virginia Adams, eds. with Howard Pasternak. Whaling Logbooks and Journals, 1613-1927: An Inventory of Manuscript Records in Public Collections. Garland Reference Library of the Humanities, vol. 682. New York and London: Garland Publishing, Inc., 1986.	2019-01-05			
AZ007	Wood. Abstracts of Whaling Voyages	Wood, Dennis. 'Abstracts of Whaling Voyages, 1831-1873.' Microfilm copy from the original manuscript held by the New Bedford Free Public Library, New Bedford, MA, 1981.	2019-01-05			
AZ008	Frank. Dictionary of Scrimshaw Artists	Frank, Stuart M. Dictionary of Scrimshaw Artists. Mystic, CT: Mystic Seaport Museum, Inc., 1991.	2019-01-05			
AZ009	Martin, Kenneth R.	Martin, Kenneth R. Personal communication.	2019-01-05			
AZ010	Leavitt. The Charles W. Morgan	Leavitt, John F. The Charles W. Morgan. Mystic, CT: The Marine Historical Association, Inc., 1973.	2019-01-05			
AZ011	Colby. For Oil and Buggy Whips	Colby, Barnard L. For Oil and Buggy Whips. Mystic, CT: Mystic Seaport Museum, Inc., 1990.	2019-01-05			
AZ012	Register for Seamen’s Names and Descriptions, 1837-1935	Register for Seamen’s Names and Descriptions, 1837-1935. 40 vols., New Bedford Port Society. On deposit at the New Bedford Whaling Museum Research Library, New Bedford, MA.	2019-01-05			
AZ013	Hegarty. Returns of Whaling Vessels	Hegarty, Reginald B. Returns of Whaling Vessels Sailing from American Ports: A Continuation of Alexander Starbuck’s 'History of the American Whale Fishery' 1876-1928. New Bedford, MA: Old Dartmouth Historical Society, and Whaling Museum, 1959.	2026-01-19	dtc		https://babel.hathitrust.org/cgi/pt?id=nyp.33433044938631
AZ014	Nebiker, Walter	Nebiker, Walter. Personal communication.	2019-01-05			
