mabsID	voyageID	voyage	masterID	maurymaster	vesselID	mauryvessel	mauryrig	mauryport	maurydest	mauryvol	maurypage	maurylink	mauryplaces	maurynotes	other_years
AB001	AV00102	Abigail : 1831-1835	AM0991	Clark	AS0001	Abigail	Ship			60	129	https://catalog.archives.gov/id/454778531?objectPage=566	https://catalog.archives.gov/id/454778531?objectPage=437		1831 1832 1833 1834 1835
AB002	AV00136	Abraham Barker : 1848-1850	AM0290	Barker, Alexander R.	AS0019	Abraham Barker	Ship	New Bedford, MA	New Zealand	131	v12	https://catalog.archives.gov/id/454794004?objectPage=450			1848 1849 1850
AB003	AV00164	Abraham H. Howland : 1845-1848	AM5169	Walker, Washington T.	AS0015	Abraham H. Howland	Ship			405	137	https://catalog.archives.gov/id/454828273?objectPage=284	https://catalog.archives.gov/id/454828273?objectPage=213		1845 1846 1847 1848
AB004	AV00165	Abraham H. Howland : 1848-1851	AM1874	Fisher, John	AS0015	Abraham H. Howland	Ship	New Bedford, MA	Western Islands	117	v5	https://catalog.archives.gov/id/454790371?objectPage=734			1848 1849 1850 1851
AB005	AV00183	Acasta : 1829-1830	AM5451	Harris, Hervey	AS0814	Acasta	Ship	Sag Harbor, NY		94	149	https://catalog.archives.gov/id/454785746?objectPage=717			1829 1830
AB006	AV00167	Acasta : 1830-1831	AM2456	Harris, H.	AS0815	Acasta	Ship	Sag Harbor, NY		94	160	https://catalog.archives.gov/id/454785746?objectPage=728	https://catalog.archives.gov/id/454785746?objectPage=569		1830 1831
AB007	AV00168	Acasta : 1831-1832	AM0073	Harris, H.	AS0814	Acasta	Ship	Sag Harbor, NY		94	170	https://catalog.archives.gov/id/454785746?objectPage=739	https://catalog.archives.gov/id/454785746?objectPage=569		1831 1832
AB008	AV00170	Acasta : 1832-1833	AM2452	Harris, H.	AS0815	Acasta	Ship	Sag Harbor, NY		94	178	https://catalog.archives.gov/id/454785746?objectPage=747	https://catalog.archives.gov/id/454785746?objectPage=569		1832 1833
AB009	AV00171	Acasta : 1833-1834	AM2413	Harris, H.	AS0815	Acasta	Ship	Sag Harbor, NY		94	189	https://catalog.archives.gov/id/454785746?objectPage=758	https://catalog.archives.gov/id/454785746?objectPage=569	Incomplete	1833 1834
AB010	AV00202	Active : 1852-1856	AM3486	Morrison, Thomas	AS0025	Active		New Bedford		174	v3	https://catalog.archives.gov/id/454802569?objectPage=249			1852 1853 1854 1855 1856
AB011	AV00209	Acushnet : 1841-1845	AM4866	Pease, Valentine	AS0819	Acushnet	Ship			15	71	https://catalog.archives.gov/id/454768152?objectPage=503	https://catalog.archives.gov/id/454768152?objectPage=430		1841 1842 1843 1844 1845
AB012	AV00224	Addison : 1838-1841	AM5070	Tower, W. E.	AS0003	Addison	Ship			30	1	https://catalog.archives.gov/id/454771610?objectPage=517	https://catalog.archives.gov/id/454771610?objectPage=514		1838 1839 1840 1841
AB013	AV00225	Addison : 1841-1845	AM5260	West	AS0003	Addison	Ship			28	68	https://catalog.archives.gov/id/454771610?objectPage=86	https://catalog.archives.gov/id/454771610?objectPage=18		1841 1842 1843 1844 1845
